value	title	parentvalue
1111	Legislators	111
1112	Senior Government Officials	111
1113	Traditional Chiefs and Heads of Villages	111
1114	Senior Officials of Special-interest Organizations	111
1120	Managing Directors and Chief Executives	112
1211	Finance Managers	121
1212	Human Resource Managers	121
1213	Policy and Planning Managers	121
1219	Business Services and Administration Managers Not Elsewhere Classified	121
1221	Sales and Marketing Managers	122
1222	Advertising and Public Relations Managers	122
1223	Research and Development Managers	122
1311	Agricultural and Forestry Production Managers	131
1312	Aquaculture and Fisheries Production Managers	131
1321	Manufacturing Managers	132
1322	Mining Managers	132
1323	Construction Managers	132
1324	Supply, Distribution and Related Managers	132
1330	Information and Communications Technology Services Managers	133
1341	Child Care Services Managers	134
1342	Health Services Managers	134
1343	Aged Care Services Managers	134
1344	Social Welfare Managers	134
1345	Education Managers	134
1346	Financial and Insurance Services Branch Managers	134
1349	Professional Services Managers Not Elsewhere Classified	134
1411	Hotel Managers	141
1412	Restaurant Managers	141
1420	Retail and Wholesale Trade Managers	142
1431	Sports, Recreation and Cultural Centre Managers	143
1439	Services Managers Not Elsewhere Classified	143
2111	Physicists and Astronomers	211
2112	Meteorologists	211
2113	Chemists	211
2114	Geologists and Geophysicists	211
2120	Mathematicians, Actuaries and Statisticians	212
2131	Biologists, Botanists, Zoologists and Related Professionals	213
2132	Farming, Forestry and Fisheries Advisers	213
2133	Environmental Protection Professionals	213
2141	Industrial and Production Engineers	214
2142	Civil Engineers	214
2143	Environmental Engineers	214
2144	Mechanical Engineers	214
2145	Chemical Engineers	214
2146	Mining Engineers, Metallurgists and Related Professionals	214
2149	Engineering Professionals Not Elsewhere Classified	214
2151	Electrical Engineers	215
2152	Electronics Engineers	215
2153	Telecommunications Engineers	215
2161	Building Architects	216
2162	Landscape Architects	216
2163	Product and Garment Designers	216
2164	Town and Traffic Planners	216
2165	Cartographers and Surveyors	216
2166	Graphic and Multimedia Designers	216
2211	Generalist Medical Practitioners	221
2212	Specialist Medical Practitioners	221
2221	Nursing Professionals	222
2222	Midwifery Professionals	222
2230	Traditional and Complementary Medicine Professionals	223
2240	Paramedical Practitioners	224
2250	Veterinarians	225
2261	Dentists	226
2262	Pharmacists	226
2263	Environmental and Occupational Health and Hygiene Professionals	226
2264	Physiotherapists	226
2265	Dieticians and Nutritionists	226
2266	Audiologists and Speech Therapists	226
2267	Optometrists and Ophthalmic Opticians	226
2269	Health Professionals Not Elsewhere Classified	226
2310	University and Higher Education Teachers	231
2320	Vocational Education Teachers	232
2330	Secondary Education Teachers	233
2341	Primary School Teachers	234
2342	Early Childhood Educators	234
2351	Education Methods specialists	235
2352	Special Needs Teachers	235
2353	Other Language Teachers	235
2354	Other Music Teachers	235
2355	Other Arts Teachers	235
2356	Information Technology Trainers	235
2359	Teaching Professionals Not Elsewhere Classified	235
2411	Accountants	241
2412	Financial and Investment Advisers	241
2413	Financial Analysts	241
2421	Management and Organization Analysts	242
2422	Policy Administration Professionals	242
2423	Personnel and Careers Professionals	242
2424	Training and Staff Development Professionals	242
2431	Advertising and Marketing Professionals	243
2432	Public Relations Professionals	243
2433	Technical and Medical Sales Professionals (excluding ICT)	243
2434	Information and Communications Technology Sales Professionals	243
2511	Systems Analysts	251
2512	Software Developers	251
2513	Web and Multimedia Developers	251
2514	Applications Programmers	251
2519	Software and Applications Developers and Analysts Not Elsewhere Classified	251
2521	Database Designers and Administrators	252
2522	Systems Administrators	252
2523	Computer Network Professionals	252
2529	Database and Network Professionals Not Elsewhere Classified	252
2611	Lawyers	261
2612	Judges	261
2619	Legal Professionals Not Elsewhere Classified	261
2621	Archivists and Curators	262
2622	Librarians and Related Information Professionals	262
2631	Economists	263
2632	Sociologists, Anthropologists and Related Professionals	263
2633	Philosophers, Historians and Political Scientists	263
2634	Psychologists	263
2635	Social Work and Counselling Professionals	263
2636	Religious Professionals	263
2641	Authors and Related Writers	264
2642	Journalists	264
2643	Translators, Interpreters and Other Linguists	264
2651	Visual Artists	265
2652	Musicians, Singers and Composers	265
2653	Dancers and Choreographers	265
2654	Film, Stage and Related Directors and Producers	265
2655	Actors	265
2656	Announcers on Radio, Television and Other Media	265
2659	Creative and Performing Artists Not Elsewhere Classified	265
3111	Chemical and Physical Science Technicians	311
3112	Civil Engineering Technicians	311
3113	Electrical Engineering Technicians	311
3114	Electronics Engineering Technicians	311
3115	Mechanical Engineering Technicians	311
3116	Chemical Engineering Technicians	311
3117	Mining and Metallurgical Technicians	311
3118	Draughtspersons	311
3119	Physical and Engineering Science Technicians Not Elsewhere Classified	311
3121	Mining Supervisors	312
3122	Manufacturing Supervisors	312
3123	Construction Supervisors	312
3131	Power Production Plant Operators	313
3132	Incinerator and Water Treatment Plant Operators	313
3133	Chemical Processing Plant Controllers	313
3134	Petroleum and Natural Gas Refining Plant Operators	313
3135	Metal Production Process Controllers	313
3139	Process Control Technicians Not Elsewhere Classified	313
3141	Life Science Technicians (excluding Medical)	314
3142	Agricultural Technicians	314
3143	Forestry Technicians	314
3151	Ships’ Engineers	315
3152	Ships’ Deck Officers and Pilots	315
3153	Aircraft Pilots and Related Associate Professionals	315
3154	Air Traffic Controllers	315
3155	Air Traffic Safety Electronics Technicians	315
3211	Medical Imaging and Therapeutic Equipment Technicians	321
3212	Medical and Pathology Laboratory Technicians	321
3213	Pharmaceutical Technicians and Assistants	321
3214	Medical and Dental Prosthetic Technicians	321
3221	Nursing Associate Professionals	322
3222	Midwifery Associate Professionals	322
3230	Traditional and Complementary Medicine Associate Professionals	323
3240	Veterinary Technicians and Assistants	324
3251	Dental Assistants and Therapists	325
3252	Medical Records and Health Information Technicians	325
3253	Community Health Workers	325
3254	Dispensing Opticians	325
3255	Physiotherapy Technicians and Assistants	325
3256	Medical Assistants	325
3257	Environmental and Occupational Health Inspectors and Associates	325
3258	Ambulance Workers	325
3259	Health Associate Professionals Not Elsewhere Classified	325
3311	Securities and Finance Dealers and Brokers	331
3312	Credit and Loans Officers	331
3313	Accounting Associate Professionals	331
3314	Statistical, Mathematical and Related Associate Professionals	331
3315	Valuers and Loss Assessors	331
3321	Insurance Representatives	332
3322	Commercial Sales Representatives	332
3323	Buyers	332
3324	Trade Brokers	332
3331	Clearing and Forwarding Agents	333
3332	Conference and Event Planners	333
3333	Employment Agents and Contractors	333
3334	Real Estate Agents and Property Managers	333
