value	title	parentvalue
11	Directeurs généraux, cadres supérieurs et membres de l'Exécutif et des corps législatifs	1
12	Directeurs de services administratifs et commerciaux	1
13	Directeurs et cadres de direction, production et services spécialisés	1
14	Directeurs et gérants de l'hôtellerie, la restauration, le commerce et autres services	1
21	Spécialistes des sciences techniques	2
22	Spécialistes de la santé	2
23	Spécialistes de l'enseignement	2
24	Spécialistes en administration d'entreprises	2
25	Spécialistes des technologies de l'information et des communications	2
26	Spécialistes de la justice, des sciences sociales et de la culture	2
31	Professions intermédiaires des sciences et techniques	3
32	Professions intermédiaires de la santé	3
33	Professions intermédiaires, finance et administration	3
34	Professions intermédiaires des services juridiques, des services sociaux et assimilés	3
35	Techniciens de l'information et des communications	3
41	Employés de bureau	4
42	Employés de réception, guichetiers et assimilés	4
43	Employés des services comptables et d'approvisionnement	4
44	Autres employés de type administratif	4
51	Personnel des services directs aux particuliers	5
52	Commerçants et vendeurs	5
53	Personnel soignant	5
54	Personnel des services de protection et de sécurité	5
61	Agriculteurs et ouvriers qualifiés de l'agriculture commerciale	6
62	Professions commerciales qualifiées de la sylviculture, de la pêche et de la chasse	6
63	Agriculteurs, pêcheurs, chasseurs et cueilleurs de subsistance	6
71	Métiers qualifiés du bâtiment et assimilés, sauf électriciens	7
72	Métiers qualifiés de la métallurgie, de la construction mécanique et assimilés	7
73	Métiers qualifiés de l'artisanat et de l'imprimerie	7
74	Métiers de l'électricité et de l'électrotechnique	7
75	Métiers de l'alimentation, du travail sur bois, de l'habillement et autres métiers qualifiés de l'industrie et de l'artisanat	7
81	Conducteurs de machines et d'installations fixes	8
82	Ouvriers de l'assemblage	8
83	Conducteurs de véhicules et d'engins lourds de levage et de manœuvre	8
91	Aides de ménage	9
92	Manoeuvres de l'agriculture, de la pêche et de la sylviculture	9
93	Manoeuvres des mines, du bâtiment et des travaux publics, des industries manufacturières et des transports	9
94	Assistants de fabrication de l'alimentation	9
95	Vendeurs ambulants et autres travailleurs des petits métiers des rues et assimilés	9
96	Eboueurs et autres travailleurs non qualifiés	9
1	Officiers des forces armées	0
2	Sous-officiers des forces armées	0
3	Autres membres des forces armées	0
