value	title	parentvalue
8151	Conducteurs de machines à préparer les fibres, à filer et à bobiner	815
8152	Conducteurs de métiers mécaniques à tisser et à tricoter	815
8153	Conducteurs de machines à coudre	815
8154	Conducteurs de machines à blanchir, à teindre et à nettoyer les tissus	815
8155	Conducteurs de machines à préparer les fourrures et le cuir	815
8156	Conducteurs de machines pour la fabrication des chaussures et assimilés	815
8157	Conducteurs de machines de blanchisserie	815
8159	Conducteurs de machines pour la fabrication de produits textiles et d'articles en fourrure et en cuir, non classés ailleurs	815
8160	Conducteurs de machines pour la fabrication de denrées alimentaires et de produits connexes	816
8171	Conducteurs d'installations pour la fabrication du papier et de la pâte à papier	817
8172	Conducteurs d'installations pour le travail du bois	817
8181	Conducteurs d'installations de verrerie et de céramique	818
8182	Chauffeurs de machines à vapeur et de chaudières	818
8183	Conducteurs de machines d'emballage, d'embouteillage et d'étiquetage	818
8189	Conducteurs de machines et d'installations fixes non classés ailleurs	818
8211	Monteurs en construction mécanique	821
8212	Monteurs d'appareils électriques et électroniques	821
8219	Monteurs et assembleurs non classés ailleurs	821
8311	Conducteurs de locomotives	831
8312	Serre-freins, aiguilleurs et agents de manœuvre	831
8321	Conducteurs de motocycles	832
8322	Chauffeurs de taxi et conducteurs d'automobiles et de camionnettes	832
8331	Conducteurs d'autobus et de tramways	833
8332	Conducteurs de poids lourds et de camions	833
8341	Conducteurs d'engins mobiles agricoles et forestiers	834
8342	Conducteurs d'engins de terrassement et de matériels similaires	834
8343	Conducteurs de grues, d'engins de levage divers et de matériels similaires	834
8344	Conducteurs de chariots élévateurs	834
8350	Matelots de pont et assimilés	835
9111	Aides de ménage à domicile	911
9112	Agents d'entretien dans les bureaux, les hôtels et autres établissements	911
9121	Laveurs et repasseurs de linge à la main	912
9122	Laveurs de véhicules	912
9123	Laveurs de vitres	912
9129	Autres nettoyeurs	912
9211	Manoeuvres de l'agriculture	921
9212	Manoeuvres de l'élevage	921
9213	Manoeuvres de l'agriculture et de l'élevage	921
9214	Manoeuvres, cultures maraîchères et horticulture	921
9215	Manoeuvres forestiers	921
9216	Manoeuvres pêcheurs et aquaculteurs	921
9311	Manoeuvres des mines et des carrières	931
9312	Manoeuvres de chantier de travaux publics	931
9313	Manoeuvres du bâtiment	931
9321	Emballeurs à la main et autres manoeuvres des industries manufacturières	932
9329	Manoeuvres des industries manufacturières non classés ailleurs	932
9331	Conducteurs de véhicules à bras et à pédales	933
9332	Conducteurs de véhicules et de machines à traction animale	933
9333	Manutentionnaires	933
9334	Garnisseurs de rayons	933
9411	Cuisiniers, restauration rapide	941
9412	Aides de cuisine	941
9510	Travailleurs des petits métiers des rues et assimilés	951
9520	Vendeurs ambulants (à l'exception de l'alimentation)	952
9611	Manoeuvres, enlèvement des ordures et matériel recyclable	961
9612	Trieurs de déchets	961
9613	Balayeurs et manoeuvres assimilés	961
9621	Messagers, porteurs de bagages et livreurs de colis	962
9622	Manoeuvres polyvalents	962
9623	Encaisseurs de distributeurs automatiques à prépaiement et releveurs de compteurs	962
9624	Porteurs d'eau et ramasseurs de bois de feu	962
9629	Professions élémentaires non classés ailleurs	962
110	Officiers des forces armées	11
210	Sous-officiers des forces armées	21
310	Autres membres des forces armées	31
